story_id,jira_story_key,epic,story_title,story_title_vi,status,sprint,commitment,priority,story_points,start_date,end_date,dependency,spec_ref,task_ids,business_rules,acceptance_criteria,linked_items
CTMS-86,,EPIC 12. AI Survival Assistant and RAG,Use RAG,Use RAG,To Do,Sprint 5,Committed,Must Have,13,2026-09-20,2026-10-03,CTMS-66,/file/spec/ctms-86-use-rag.md,,,Retrieve relevant chunks; record sources; do not send unrelated context beyond limits.,
CTMS-87,,EPIC 12. AI Survival Assistant and RAG,Ask AI About First Aid and Survival,Ask AI About First Aid and Survival,To Do,Sprint 5,Committed,Must Have,8,2026-09-20,2026-10-03,CTMS-86,/file/spec/ctms-87-ask-ai-about-first-aid-and-survival.md,,,The user enters a question; the system answers from the knowledge base; response time is reasonable.,
CTMS-88,,EPIC 12. AI Survival Assistant and RAG,Search Survival Guidance Offline,Search Survival Guidance Offline,To Do,Sprint 5,Committed,Must Have,8,2026-09-20,2026-10-03,"CTMS-70, CTMS-66",/file/spec/ctms-88-search-survival-guidance-offline.md,,,Search the local package; support keyword or full-text search; do not call the online LLM.,
CTMS-89,,EPIC 12. AI Survival Assistant and RAG,View Knowledge Sources for AI Answers,View Knowledge Sources for AI Answers,To Do,Sprint 5,Stretch,Should Have,3,2026-09-20,2026-10-03,"CTMS-87, CTMS-86",/file/spec/ctms-89-view-knowledge-sources-for-ai-answers.md,,,Show referenced document names or categories; do not fabricate sources.,
CTMS-90,,EPIC 12. AI Survival Assistant and RAG,Rate AI Answers,Rate AI Answers,To Do,Sprint 5,Stretch,Should Have,3,2026-09-20,2026-10-03,CTMS-87,/file/spec/ctms-90-rate-ai-answers.md,,,"Allow Useful, Not Useful, and Report Unsafe feedback; sync feedback when network is available.",
CTMS-91,,EPIC 12. AI Survival Assistant and RAG,View AI Answers Reported as Unsafe,View AI Answers Reported as Unsafe,To Do,Sprint 5,Stretch,Should Have,5,2026-09-20,2026-10-03,"CTMS-06, CTMS-90",/file/spec/ctms-91-view-ai-answers-reported-as-unsafe.md,,,"A report list is available; question, answer, and source can be viewed; reports can be marked as handled.",
CTMS-92,,EPIC 13. SOS and Emergency Management,Send SOS When in Danger,Send SOS When in Danger,To Do,Sprint 5,Committed,Must Have,8,2026-09-20,2026-10-03,CTMS-74,/file/spec/ctms-92-send-sos-when-in-danger.md,,,"Send user, trip, location, time, battery, and incident type; the button is easy to access.",
CTMS-93,,EPIC 12. AI Survival Assistant and RAG,Detect Emergency Questions,Detect Emergency Questions,To Do,Sprint 5,Stretch,Must Have,8,2026-09-20,2026-10-03,"CTMS-87, CTMS-92",/file/spec/ctms-93-detect-emergency-questions.md,,,Detect danger keywords; respond briefly; show SOS button and current location.,
CTMS-94,,EPIC 13. SOS and Emergency Management,Create SOS Even When Offline,Create SOS Even When Offline,To Do,Sprint 5,Committed,Must Have,8,2026-09-20,2026-10-03,"CTMS-92, CTMS-80",/file/spec/ctms-94-create-sos-even-when-offline.md,,,SOS is saved locally with high priority; safety instructions are shown; it is sent as soon as network returns.,
CTMS-95,,EPIC 11. Buffer and Synchronization,Prioritize SOS and Dangerous Events During Sync,Prioritize SOS and Dangerous Events During Sync,To Do,Sprint 5,Committed,Must Have,5,2026-09-20,2026-10-03,"CTMS-81, CTMS-94",/file/spec/ctms-95-prioritize-sos-and-dangerous-events-during-sync.md,,,SOS is sent before normal GPS logs; priority order is preserved.,
CTMS-96,,EPIC 13. SOS and Emergency Management,Cancel Accidental SOS,Cancel Accidental SOS,To Do,Sprint 5,Stretch,Should Have,3,2026-09-20,2026-10-03,CTMS-92,/file/spec/ctms-96-cancel-accidental-sos.md,,,"Allow cancellation within a configured window; after Host acknowledgement, a reason is required; history is not deleted.",
CTMS-97,,EPIC 14. Real-Time Communication,Establish Authenticated WebSocket Connection,Establish Authenticated WebSocket Connection,To Do,Sprint 5,Committed,Must Have,8,2026-09-20,2026-10-03,CTMS-03,/file/spec/ctms-97-establish-authenticated-websocket-connection.md,,,Socket validates JWT; invalid or expired tokens are rejected; users join the correct room.,
CTMS-98,,EPIC 13. SOS and Emergency Management,Receive SOS Alerts in Real Time,Receive SOS Alerts in Real Time,To Do,Sprint 5,Committed,Must Have,8,2026-09-20,2026-10-03,"CTMS-92, CTMS-97",/file/spec/ctms-98-receive-sos-alerts-in-real-time.md,,,WebSocket sends alerts within 2 seconds under stable connection; sound and acknowledgement are available.,
CTMS-99,,EPIC 13. SOS and Emergency Management,Acknowledge SOS Handling,Acknowledge SOS Handling,To Do,Sprint 5,Committed,Must Have,5,2026-09-20,2026-10-03,CTMS-98,/file/spec/ctms-99-acknowledge-sos-handling.md,,,SOS status changes to Acknowledged; the sender receives an update; response time is saved.,
