story_id,epic,story_title,status,sprint,commitment,priority,story_points,start_date,end_date,dependency,spec_ref,acceptance_criteria,linked_items
CTMS-01,EPIC 1. Authentication,Register with Email or Phone Number,In Progress,Sprint 1,Committed,Must Have,5,2026-07-26,2026-08-08,,/file/spec/ctms-01-register-with-email-or-phone-number.md,Do not allow duplicate email addresses or phone numbers; validate formats; hash passwords; create the account successfully when the input is valid.,Task links: CTMS-01-T01: https://thuha140105.atlassian.net/browse/CTMS-14; CTMS-01-T02: https://thuha140105.atlassian.net/browse/CTMS-15
CTMS-02,EPIC 1. Authentication,Verify Account via OTP or Email,In Progress,Sprint 1,Committed,Must Have,5,2026-07-26,2026-08-08,CTMS-01,/file/spec/ctms-02-verify-account-via-otp-or-email.md,OTP must expire; resend attempts must be limited; accounts cannot be activated with an incorrect or expired OTP.,Task links: CTMS-02-T01: https://thuha140105.atlassian.net/browse/CTMS-16; CTMS-02-T02: https://thuha140105.atlassian.net/browse/CTMS-17
CTMS-03,EPIC 1. Authentication,Log In,In Progress,Sprint 1,Committed,Must Have,5,2026-07-26,2026-08-08,CTMS-02,/file/spec/ctms-03-log-in.md,Valid credentials return an access token and refresh token; invalid credentials show an appropriate error message; locked accounts cannot log in.,Task links: CTMS-03-T01: https://thuha140105.atlassian.net/browse/CTMS-18; CTMS-03-T02: https://thuha140105.atlassian.net/browse/CTMS-19
CTMS-04,EPIC 1. Authentication,Refresh Authentication Session,In Progress,Sprint 1,Committed,Must Have,3,2026-07-26,2026-08-08,CTMS-03,/file/spec/ctms-04-refresh-authentication-session.md,A valid refresh token creates a new access token; expired or revoked tokens must be rejected.,Task links: CTMS-04-T01: https://thuha140105.atlassian.net/browse/CTMS-20; CTMS-04-T02: https://thuha140105.atlassian.net/browse/CTMS-21
CTMS-05,EPIC 1. Authentication,Reset Forgotten Password,To Do,Sprint 1,Stretch,Must Have,5,2026-07-26,2026-08-08,CTMS-01,/file/spec/ctms-05-reset-forgotten-password.md,An OTP or reset link is available; the new password must satisfy password rules; old login sessions are revoked.,Task links: CTMS-05-T01: https://thuha140105.atlassian.net/browse/CTMS-22; CTMS-05-T02: https://thuha140105.atlassian.net/browse/CTMS-23
CTMS-06,EPIC 1. Authentication,"Manage Role-Based Access for Camper, Host, Porter, and Admin",To Do,Sprint 1,Committed,Must Have,8,2026-07-26,2026-08-08,CTMS-03,/file/spec/ctms-06-manage-role-based-access-for-camper-host-porter-and-admin.md,APIs enforce authorization on the backend; users cannot access features outside their role; unauthorized actions return 403.,Task links: CTMS-06-T01: https://thuha140105.atlassian.net/browse/CTMS-24; CTMS-06-T02: https://thuha140105.atlassian.net/browse/CTMS-25
CTMS-07,EPIC 1. Authentication,Update Personal Profile and Emergency Contact,To Do,Sprint 1,Committed,Must Have,5,2026-07-26,2026-08-08,CTMS-03,/file/spec/ctms-07-update-personal-profile-and-emergency-contact.md,Valid profile information is updated successfully; emergency contacts are saved; access to sensitive data is permission-checked.,Task links: CTMS-07-T01: https://thuha140105.atlassian.net/browse/CTMS-26; CTMS-07-T02: https://thuha140105.atlassian.net/browse/CTMS-27
CTMS-08,EPIC 1. Authentication,Log Out from Current Device or All Devices,To Do,Sprint 1,Stretch,Should Have,3,2026-07-26,2026-08-08,CTMS-03,/file/spec/ctms-08-log-out-from-current-device-or-all-devices.md,The current token is revoked; the log out from all devices option invalidates every refresh token.,Task links: CTMS-08-T01: https://thuha140105.atlassian.net/browse/CTMS-28; CTMS-08-T02: https://thuha140105.atlassian.net/browse/CTMS-29
CTMS-09,EPIC 1. Authentication,Store Important Health Information,To Do,Sprint 1,Stretch,Should Have,5,2026-07-26,2026-08-08,CTMS-07,/file/spec/ctms-09-store-important-health-information.md,Only the Host or Porter for the related trip can view the information; the user can edit or revoke sharing permission.,Task links: CTMS-09-T01: https://thuha140105.atlassian.net/browse/CTMS-30; CTMS-09-T02: https://thuha140105.atlassian.net/browse/CTMS-31
CTMS-123,EPIC 19. Administration,Manage User Accounts,To Do,Sprint 1,Stretch,Must Have,5,2026-07-26,2026-08-08,CTMS-06,/file/spec/ctms-123-manage-user-accounts.md,"Search, view, lock, and unlock accounts; do not hard-delete related data.",Task links: CTMS-123-T01: https://thuha140105.atlassian.net/browse/CTMS-32; CTMS-123-T02: https://thuha140105.atlassian.net/browse/CTMS-33
CTMS-124,EPIC 19. Administration,Write Audit Log for Important Actions,To Do,Sprint 1,Committed,Must Have,8,2026-07-26,2026-08-08,CTMS-06,/file/spec/ctms-124-write-audit-log-for-important-actions.md,"Save actor, action, target, time, before data, and after data.",Task links: CTMS-124-T01: https://thuha140105.atlassian.net/browse/CTMS-34; CTMS-124-T02: https://thuha140105.atlassian.net/browse/CTMS-35
CTMS-125,EPIC 19. Administration,View Audit Log,To Do,Sprint 1,Stretch,Should Have,5,2026-07-26,2026-08-08,CTMS-124,/file/spec/ctms-125-view-audit-log.md,"Filter by user, action, time, and target; logs cannot be edited.",Task links: CTMS-125-T01: https://thuha140105.atlassian.net/browse/CTMS-36; CTMS-125-T02: https://thuha140105.atlassian.net/browse/CTMS-37
CTMS-126,EPIC 19. Administration,Handle Content Reports,To Do,Sprint 1,Stretch,Should Have,5,2026-07-26,2026-08-08,"CTMS-06, CTMS-115",/file/spec/ctms-126-handle-content-reports.md,"Show reporter, target_type, target_id, reason, and status; Admin can move Pending to Reviewing, Actioned, or Rejected; every change is audit logged.",Task links: CTMS-126-T01: https://thuha140105.atlassian.net/browse/CTMS-38; CTMS-126-T02: https://thuha140105.atlassian.net/browse/CTMS-39
