story_id,jira_story_key,epic,story_title,story_title_vi,status,sprint,commitment,priority,story_points,start_date,end_date,dependency,spec_ref,task_ids,business_rules,acceptance_criteria,linked_items
CTMS-65,,EPIC 12. AI Survival Assistant and RAG,Manage Survival Documents,Manage Survival Documents,To Do,Sprint 4,Committed,Must Have,8,2026-09-06,2026-09-19,CTMS-06,/file/spec/ctms-65-manage-survival-documents.md,,,"Documents can be uploaded, categorized, reviewed, published, and tracked with version and status.",
CTMS-66,,EPIC 12. AI Survival Assistant and RAG,Split Documents into Knowledge Chunks,Split Documents into Knowledge Chunks,To Do,Sprint 4,Committed,Must Have,8,2026-09-06,2026-09-19,CTMS-65,/file/spec/ctms-66-split-documents-into-knowledge-chunks.md,,,"Each chunk has content, metadata, source, and version; embeddings can be generated.",
CTMS-67,,EPIC 9. Offline Package,Create Offline Package for Each Trip,Create Offline Package for Each Trip,To Do,Sprint 4,Committed,Must Have,8,2026-09-06,2026-09-19,"CTMS-20, CTMS-23, CTMS-26, CTMS-34, CTMS-41, CTMS-43, CTMS-56, CTMS-62, CTMS-66",/file/spec/ctms-67-create-offline-package-for-each-trip.md,,,"Create offline packages only for Trips with status = published. The package includes route, checkpoints, danger zones, packing list, weather snapshot, and survival knowledge. If the package includes group members or medical/emergency contact information, data must come from confirmed bookings and booking_members; Porter data comes from porter_assignments with status = accepted. A new package version is created when source data changes.",
CTMS-68,,EPIC 9. Offline Package,Download Offline Package Before Departure,Download Offline Package Before Departure,To Do,Sprint 4,Committed,Must Have,8,2026-09-06,2026-09-19,CTMS-67,/file/spec/ctms-68-download-offline-package-before-departure.md,,,Show package size and progress; downloads resume after interruption; available storage is checked.,
CTMS-69,,EPIC 9. Offline Package,Verify Offline Package Integrity,Verify Offline Package Integrity,To Do,Sprint 4,Committed,Must Have,5,2026-09-06,2026-09-19,CTMS-68,/file/spec/ctms-69-verify-offline-package-integrity.md,,,Checksum is verified; invalid packages move offline_packages.status to failed; re-download is allowed; do not use corrupted because offline_package_status does not define it.,
CTMS-70,,EPIC 9. Offline Package,"View Route, Checkpoints, and Survival Guidance Offline","View Route, Checkpoints, and Survival Guidance Offline",To Do,Sprint 4,Committed,Must Have,8,2026-09-06,2026-09-19,"CTMS-68, CTMS-69",/file/spec/ctms-70-view-route-checkpoints-and-survival-guidance-offline.md,,,Data opens in airplane mode; no API calls are made; content matches the correct Trip.,
CTMS-71,,EPIC 8. Porter Management,Confirm Group Arrival at Checkpoint,Confirm Group Arrival at Checkpoint,To Do,Sprint 4,Stretch,Must Have,5,2026-09-06,2026-09-19,"CTMS-20, CTMS-63, CTMS-70",/file/spec/ctms-71-confirm-group-arrival-at-checkpoint.md,,,"Save confirmation time, location, and confirmer; the action works offline and syncs later.",
CTMS-72,,EPIC 9. Offline Package,Warn When Offline Package Is Outdated,Warn When Offline Package Is Outdated,To Do,Sprint 4,Stretch,Should Have,3,2026-09-06,2026-09-19,CTMS-68,/file/spec/ctms-72-warn-when-offline-package-is-outdated.md,,,"Show version and updated time; warn when route, weather, or knowledge base has a newer version.",
CTMS-73,,EPIC 10. GPS Navigation and Route Deviation,View Current Location on Offline Map,View Current Location on Offline Map,To Do,Sprint 4,Committed,Must Have,8,2026-09-06,2026-09-19,CTMS-70,/file/spec/ctms-73-view-current-location-on-offline-map.md,,,"Show GPS location, route, and checkpoints without Internet; show GPS accuracy.",
CTMS-74,,EPIC 10. GPS Navigation and Route Deviation,Record GPS Breadcrumbs During Trekking,Record GPS Breadcrumbs During Trekking,To Do,Sprint 4,Committed,Must Have,8,2026-09-06,2026-09-19,CTMS-73,/file/spec/ctms-74-record-gps-breadcrumbs-during-trekking.md,,,"Record GPS only when trips.status = ongoing; the camper belongs to a confirmed booking and booking_members.member_status = joined, or the Porter has porter_assignments.status = accepted; and the user has granted location permission. Stop recording when the Trip is completed/cancelled or the member is left/removed. GPS is identified by user_id + trip_id, not device_id.",
